Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,power_log,Brand,Model
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,11.57,1.75,11.1844214,0.559615788,4.063197833,Maruti,Wagon
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,11.57,12.5,10.62132735,2.525728644,4.83786795,Hyundai,Creta
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,8.61,4.5,10.73639668,1.504077397,4.485259889,Honda,Jazz
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,11.57,6,11.3736634,1.791759469,4.485936098,Maruti,Ertiga
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,11.57,17.74,10.613246,2.875821977,4.947340444,Audi,A4
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,11.57,2.35,11.22524339,0.854415328,4.010962953,Hyundai,EON
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,11.57,3.5,11.3736519,1.252762968,4.14472077,Nissan,Micra
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,21,17.5,10.49127422,2.862200881,5.144583267,Toyota,Innova
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,11.57,5.2,11.07333464,1.648658626,4.64053733,Volkswagen,Vento
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74,5,11.57,1.95,11.09637919,0.667829373,4.304065093,Tata,Indica
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,10.65,9.95,10.15393494,2.297572551,4.637153232,Maruti,Ciaz
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,11.57,4.49,11.00209984,1.501852702,4.75617306,Honda,City
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74,5,11.57,5.6,11.07324151,1.722766598,4.304065093,Maruti,Swift
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,11.57,27,11.1844214,3.295836866,5.234844944,Land,Rover
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0,2179,115,5,11.57,17.5,11.35040654,2.862200881,4.744932128,Land,Rover
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,32.01,15,11.60823564,2.708050201,5.167980865,Mitsubishi,Pajero
